Beetle Number,Survival Status,Treatment Status
1,0,Control
2,0,Control
3,0,Control
4,0,Control
5,1,Control
6,0,Control
7,1,Control
8,1,Control
9,0,Control
10,0,Control
11,1,Control
12,0,Control
13,1,Control
14,1,Control
15,0,Control
16,0,Control
17,0,Control
18,0,Control
19,0,Control
20,1,Control
21,1,Control
22,1,Control
23,0,Control
24,0,Control
25,0,0.25mg
26,0,0.25mg
27,0,0.25mg
28,0,0.25mg
29,1,0.25mg
30,0,0.25mg
31,0,0.25mg
32,0,0.25mg
33,0,0.25mg
34,0,0.25mg
35,1,0.25mg
36,0,0.25mg
37,1,0.25mg
38,0,0.25mg
39,0,0.25mg
40,NA,0.25mg
41,0,0.25mg
42,0,0.25mg
43,0,0.25mg
44,0,0.25mg
45,1,0.25mg
46,1,0.25mg
47,1,0.25mg
48,0,0.25mg
49,1,1mg
50,1,1mg
51,1,1mg
52,0,1mg
53,1,1mg
54,0,1mg
55,0,1mg
56,0,1mg
57,NA,1mg
58,0,1mg
59,0,1mg
60,1,1mg
61,1,1mg
62,0,1mg
63,1,1mg
64,0,1mg
65,1,1mg
66,0,1mg
67,1,1mg
68,0,1mg
69,1,1mg
70,1,1mg
71,1,1mg
72,0,1mg
