Beetle Number,Survival Status,Treatment Status
1,0,Control
2,0,Control
3,0,Control
4,1,Control
5,0,Control
6,1,Control
7,0,Control
8,1,Control
9,0,Control
10,0,Control
11,0,0.25mg
12,1,0.25mg
13,1,0.25mg
14,0,0.25mg
15,0,0.25mg
16,1,0.25mg
17,1,0.25mg
18,0,0.25mg
19,1,0.25mg
20,1,0.25mg
21,0,1mg
22,0,1mg
23,1,1mg
24,0,1mg
25,1,1mg
26,1,1mg
27,0,1mg
28,1,1mg
29,1,1mg
30,0,1mg
31,1,4mg
32,0,4mg
33,0,4mg
34,1,4mg
35,1,4mg
36,1,4mg
37,0,4mg
38,0,4mg
39,0,4mg
40,0,4mg
